epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2206.08,0.88771,0.64854,1.22026,0.87404,0.91372,0.93815,0.67215,0.98894,0.60266,1.31258,0.0013664,0.0013664,0.0013664
98,2228.94,0.89496,0.64012,1.21212,0.89481,0.93844,0.94256,0.66827,1.06375,0.59995,1.31365,0.0013598,0.0013598,0.0013598
99,2251.96,0.90713,0.65336,1.22759,0.8893,0.90391,0.94026,0.69124,0.96067,0.63474,1.27485,0.0013532,0.0013532,0.0013532
100,2274.88,0.9176,0.64157,1.21333,0.9065,0.89707,0.93679,0.66923,1.00165,0.60869,1.27641,0.0013466,0.0013466,0.0013466
101,2297.72,0.90994,0.64583,1.2218,0.87334,0.89324,0.92834,0.66309,1.02287,0.62153,1.31721,0.00134,0.00134,0.00134
102,2320.75,0.89248,0.65289,1.21838,0.91272,0.9304,0.94678,0.67433,0.99234,0.58447,1.27993,0.0013334,0.0013334,0.0013334
103,2343.6,0.90766,0.64528,1.2075,0.916,0.88612,0.93916,0.67928,1.00283,0.60093,1.27895,0.0013268,0.0013268,0.0013268
104,2362.69,0.90653,0.64885,1.21654,0.8859,0.92883,0.94354,0.70086,0.95325,0.5843,1.25754,0.0013202,0.0013202,0.0013202
105,2385.18,0.86491,0.62009,1.19653,0.91233,0.86121,0.92748,0.68349,0.96248,0.59822,1.25555,0.0013136,0.0013136,0.0013136
106,2408.08,0.87479,0.64802,1.20459,0.88464,0.88968,0.92959,0.66919,0.97912,0.60199,1.27234,0.001307,0.001307,0.001307
107,2431.29,0.9008,0.64153,1.20489,0.881,0.90747,0.92511,0.668,0.99855,0.61366,1.30865,0.0013004,0.0013004,0.0013004
108,2454.62,0.86144,0.61913,1.18359,0.90316,0.90747,0.93136,0.69058,0.95257,0.58142,1.26257,0.0012938,0.0012938,0.0012938
109,2478.18,0.874,0.61922,1.19061,0.90881,0.88612,0.93706,0.69214,0.96257,0.5641,1.28919,0.0012872,0.0012872,0.0012872
110,2501.05,0.87093,0.60817,1.19797,0.91588,0.89115,0.94737,0.69232,0.97694,0.58394,1.24179,0.0012806,0.0012806,0.0012806
111,2523.74,0.88404,0.62504,1.19598,0.86225,0.92527,0.93364,0.679,0.9796,0.60533,1.28106,0.001274,0.001274,0.001274
112,2547.31,0.8693,0.60261,1.19489,0.8863,0.88256,0.91266,0.67748,0.95999,0.6289,1.25802,0.0012674,0.0012674,0.0012674
113,2570.82,0.87142,0.59914,1.18655,0.93816,0.8968,0.9386,0.68663,0.94504,0.57672,1.26371,0.0012608,0.0012608,0.0012608
114,2594.3,0.89492,0.63339,1.207,0.91172,0.91887,0.95191,0.70299,0.93587,0.56878,1.25137,0.0012542,0.0012542,0.0012542
115,2617.8,0.87371,0.60742,1.19797,0.87658,0.90995,0.93591,0.66583,0.97734,0.61131,1.27105,0.0012476,0.0012476,0.0012476
116,2641.26,0.87074,0.62054,1.19269,0.89611,0.89016,0.94037,0.67235,0.9863,0.58439,1.30359,0.001241,0.001241,0.001241
117,2664.7,0.85675,0.62084,1.18731,0.93559,0.87878,0.95238,0.68848,1.00314,0.59465,1.30079,0.0012344,0.0012344,0.0012344
118,2688.11,0.85125,0.60605,1.18431,0.90083,0.91103,0.93776,0.65838,0.99947,0.58847,1.31177,0.0012278,0.0012278,0.0012278
119,2711.54,0.84589,0.59117,1.18714,0.92165,0.90036,0.94825,0.68209,0.9787,0.57966,1.30793,0.0012212,0.0012212,0.0012212
120,2735,0.87216,0.61717,1.19735,0.89945,0.89133,0.93353,0.66737,0.96002,0.61948,1.30025,0.0012146,0.0012146,0.0012146
121,2758.46,0.85951,0.61255,1.19056,0.94363,0.89356,0.95196,0.68719,0.96561,0.61193,1.27405,0.001208,0.001208,0.001208
122,2780.12,0.86891,0.61093,1.19604,0.89771,0.88256,0.92557,0.66497,0.99647,0.60353,1.31671,0.0012014,0.0012014,0.0012014
123,2803.61,0.83603,0.58985,1.17931,0.91873,0.92526,0.94542,0.67891,1.02288,0.58235,1.3167,0.0011948,0.0011948,0.0011948
124,2827.13,0.86028,0.59846,1.18955,0.91437,0.91196,0.9348,0.66918,1.00388,0.60142,1.33558,0.0011882,0.0011882,0.0011882
125,2850.62,0.83816,0.5925,1.17358,0.91826,0.91948,0.94154,0.68066,0.98539,0.55776,1.3206,0.0011816,0.0011816,0.0011816
126,2873.92,0.84935,0.60799,1.17524,0.8818,0.90269,0.9311,0.68247,0.9447,0.58442,1.29969,0.001175,0.001175,0.001175
127,2895.46,0.84952,0.58261,1.16459,0.90828,0.91622,0.94083,0.68683,0.94928,0.59222,1.26867,0.0011684,0.0011684,0.0011684
128,2916.73,0.85792,0.61119,1.18805,0.92115,0.92171,0.95388,0.70356,0.95046,0.55947,1.28434,0.0011618,0.0011618,0.0011618
129,2940.32,0.82825,0.57644,1.1739,0.87513,0.93238,0.94736,0.69189,0.95962,0.56441,1.2718,0.0011552,0.0011552,0.0011552
130,2963.79,0.84543,0.58975,1.16748,0.88695,0.90747,0.93021,0.68625,0.94599,0.59002,1.31933,0.0011486,0.0011486,0.0011486
